Export MPAN / MSID,Import MPAN / MSID,Customer Name ,Customer Site ,Address Line 1,Address Line 2,Town/ City ,County ,Postcode ,Country,"Location (X-coordinate):
Eastings (where data is held)","Location (y-coordinate):
Northings (where data is held)",Grid Supply Point,Bulk Supply Point,Primary,"Point of Connection (POC)
Voltage (kV)",Licence Area ,Energy Source 1,Energy Conversion Technology 1,CHP Cogeneration (Yes/No),Storage Capacity 1 (MWh),Storage Duration 1 (Hours),Energy Source & Energy Conversion Technology 1 - Registered Capacity (MW),Energy Source 2,Energy Conversion Technology 2,CHP Cogeneration 2 (Yes/No),Storage Capacity 2 (MWh),Storage Duration 2 (Hours),Energy Source & Energy Conversion Technology 2 - Registered Capacity (MW),Energy Source 3,Energy Conversion Technology 3,CHP Cogeneration 3 (Yes/No),Storage Capacity 3 (MWh),Storage Duration 3 (Hours),Energy Source & Energy Conversion Technology 3 - Registered Capacity (MW),Flexible Connection (Yes/No),Connection Status ,Already connected Registered Capacity (MW) ,Maximum Export Capacity (MW),Maximum Export Capacity (MVA),Maximum Import Capacity (MW),Maximum Import Capacity (MVA),Date Connected,Accepted to Connect Registered Capacity (MW),Change to Maximum Export Capacity (MW) ,Change to Maximum Export Capacity (MVA) ,Change to Maximum Import Capacity (MW) ,Change to Maximum Import Capacity (MVA) ,Date Accepted,Target Energisation Date,Distribution Service Provider (Y/N),Transmission Service Provider (Y/N),Reference,In a Connection Queue (Y/N),Distribution Reinforcement Reference,Transmission Reinforcement Reference,Last Updated,geopoint,Local Authority
2394000094475,Data Not Available,Grove Farm (Melbourne),Grove Farm (Melbourne),Grove Farm,Main Street,Melbourne,North Yorkshire,YO42 4SX,England,473718,444648,Creyke Beck,Driffield/Beverley Group,Sandhill Lane,0.4,Northern Powergrid (Yorkshire) plc,Wind,Onshore wind turbines,No,Data Not Applicable,Data Not Applicable,0.152,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.152,0.152,0.16,Data Not Available,Data Not Available,2012-06-19 00:00:00,Data Not Applicable,Data Not Applicable,0.16,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.892778855856925, -0.8797622065254445",East Riding of Yorkshire
2394000077902,Data Not Available,Magdalen Grange Farm,Magdalen Grange Farm,Magdalen Grange Farm,Carr Lane,Filey,North Yorkshire,YO14 9PD,England,508179,481229,Creyke Beck,Driffield/Beverley Group,Hunmanby,0.4,Northern Powergrid (Yorkshire) plc,Wind,Onshore wind turbines,No,Data Not Applicable,Data Not Applicable,0.086,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.086,0.086,0.091,Data Not Available,Data Not Available,2012-05-01 00:00:00,Data Not Applicable,Data Not Applicable,0.091,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"54.21538148518226, -0.3425604870353512",North Yorkshire
2394000125282,2394000127581,"Cansdale Farm, Wold Newton, Driffield, YO25 3HS","Cansdale Farm, Wold Newton, Driffield, YO25 3HS",Cansdale Farm,Wold Newton,Driffield,North Yorkshire,YO25 3HS,England,507599,474975,Creyke Beck,Driffield/Beverley Group,Hunmanby,0.4,Northern Powergrid (Yorkshire) plc,Solar,Photovoltaic,No,Data Not Applicable,Data Not Applicable,0.128,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.128,0.128,0.135,Data Not Available,Data Not Available,2015-10-16 00:00:00,Data Not Applicable,Data Not Applicable,0.135,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"54.15931968607178, -0.353684729119658",North Yorkshire
2394000110490,Data Not Available,Marton Manor Farm,Marton Manor Farm,Marton Manor Farm,Flamborough Road,Bridlington,North Yorkshire,YO15 1DU,England,520199,469910,Creyke Beck,Driffield/Beverley Group,Martongate,0.4,Northern Powergrid (Yorkshire) plc,Solar,Photovoltaic,No,Data Not Applicable,Data Not Applicable,0.2,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.2,0.2,0.211,Data Not Available,Data Not Available,2014-10-17 00:00:00,Data Not Applicable,Data Not Applicable,0.211,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"54.111030383795146, -0.16284235647917802",East Riding of Yorkshire
Data Not Applicable,Data Not Available,"East Riding Leisure Centre, Bridlington YO15 2QQ","East Riding Leisure Centre, Bridlington YO15 2QQ",East Riding Leisure,Data Not Available,Promenade,North Yorkshire,YO15 2QQ,England,518570,466963,Creyke Beck,Driffield/Beverley Group,Martongate,11.0,Northern Powergrid (Yorkshire) plc,Fossil - Gas,Steam turbine (thermal power plant),No,Data Not Applicable,Data Not Applicable,0.095,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Accepted To Connect,Data Not Applicable,Data Not Applicable,Data Not Applicable,Data Not Applicable,Data Not Applicable,Data Not Applicable,0.095,0.095,0.1,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"54.084935085285615, -0.18890069938873108",East Riding of Yorkshire
2394000125663,Data Not Available,"Thorpefield Farm, Thorpe-le-Street, York, YO42 4LN","Thorpefield Farm, Thorpe-le-Street, York, YO42 4LN",Thorpefield Farm,Thorpe Le Street,York,North Yorkshire,YO42 4LN,England,482640,444339,Creyke Beck,Driffield/Beverley Group,Hayton,0.4,Northern Powergrid (Yorkshire) plc,Solar,Photovoltaic,No,Data Not Applicable,Data Not Applicable,0.187,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.187,0.187,0.197,Data Not Available,Data Not Available,2015-12-01 00:00:00,Data Not Applicable,Data Not Applicable,0.197,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.88865927257812, -0.7441186742062759",East Riding of Yorkshire
2394000117500,Data Not Available,"J E Hartley Limited, Roth Hill Lane, Thorganby","J E Hartley Limited, Roth Hill Lane, Thorganby",Data Not Available,Roth Hill Lane,Selby,North Yorkshire,YO19 6DJ,England,466485,441048,Creyke Beck,Driffield/Beverley Group,Sandhill Lane,11.0,Northern Powergrid (Yorkshire) plc,Biofuel - Landfill gas,Steam turbine (thermal power plant),No,Data Not Applicable,Data Not Applicable,0.238,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.238,0.238,0.251,Data Not Available,Data Not Available,2014-12-03 00:00:00,Data Not Applicable,Data Not Applicable,0.251,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.861403842542224, -0.9905818973604517",North Yorkshire
2394000095112,Data Not Available,Wynham Farm,Wynham Farm,Wynham Farm,Wynham Lane,York,North Yorkshire,YO41 4BR,England,470781,446870,Creyke Beck,Driffield/Beverley Group,Sandhill Lane,0.4,Northern Powergrid (Yorkshire) plc,Wind,Onshore wind turbines,No,Data Not Applicable,Data Not Applicable,0.152,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.152,0.152,0.16,Data Not Available,Data Not Available,2012-11-12 00:00:00,Data Not Applicable,Data Not Applicable,0.16,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.913154755400846, -0.9239309992987758",East Riding of Yorkshire
2394000121153,Data Not Available,"Southfield Farm, Driffield","Southfield Farm, Driffield",Southfield Farm,Beverley Road,Driffield,North Yorkshire,YO25 8AD,England,513257,453626,Creyke Beck,Driffield/Beverley Group,Seaton,0.4,Northern Powergrid (Yorkshire) plc,Solar,Photovoltaic,No,Data Not Applicable,Data Not Applicable,0.143,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.143,0.143,0.151,Data Not Available,Data Not Available,2015-04-02 00:00:00,Data Not Applicable,Data Not Applicable,0.151,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.96631649464022, -0.27504517384631055",East Riding of Yorkshire
2394000103873,Data Not Available,Old Mill Caravan Park,Old Mill Caravan Park,Old Mill Caravan Park,Newsham Hill Lane,Bridlington,North Yorkshire,YO16 6XE,England,518904,471704,Creyke Beck,Driffield/Beverley Group,Martongate,0.4,Northern Powergrid (Yorkshire) plc,Solar,Photovoltaic,No,Data Not Applicable,Data Not Applicable,0.095,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.095,0.095,0.1,Data Not Available,Data Not Available,2013-12-19 00:00:00,Data Not Applicable,Data Not Applicable,0.1,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"54.127446407974276, -0.1819352753615647",East Riding of Yorkshire
2394000101797,2394000121144,Horse Wold Farm,Horse Wold Farm,Horse Wold Farm,Middleton On The Wolds,Driffield,North Yorkshire,YO25 9DD,England,491090,448424,Creyke Beck,Driffield/Beverley Group,Hayton,11.0,Northern Powergrid (Yorkshire) plc,Wind,Onshore wind turbines,No,Data Not Applicable,Data Not Applicable,0.594,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.594,0.594,0.625,Data Not Available,Data Not Available,2015-05-08 00:00:00,Data Not Applicable,Data Not Applicable,0.625,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.92395040984151, -0.6143773426417721",East Riding of Yorkshire
2394000107707,Data Not Available,Sleights Farm,Sleights Farm,Sleights Farm,Lowthorpe Lane,Driffield,North Yorkshire,YO25 4AR,England,506886,459792,Creyke Beck,Driffield/Beverley Group,Driffield,0.4,Northern Powergrid (Yorkshire) plc,Wind,Onshore wind turbines,No,Data Not Applicable,Data Not Applicable,0.152,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.152,0.152,0.16,Data Not Available,Data Not Available,2013-11-30 00:00:00,Data Not Applicable,Data Not Applicable,0.16,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"54.023066425498214, -0.36995502021504606",East Riding of Yorkshire
2394000131444,Data Not Available,"Burton Agnes Renewables Ltd, Harpham Grange Farm, Burton Agnes, Driffield, YO25 4NQ","Burton Agnes Renewables Ltd, Harpham Grange Farm, Burton Agnes, Driffield, YO25 4NQ",Burton Agnes Renewables Ltd,Harpham Grange Farm,Driffield,North Yorkshire,YO25 4NQ,England,509331,462787,Creyke Beck,Driffield/Beverley Group,Driffield,11.0,Northern Powergrid (Yorkshire) plc,Biomass,Steam turbine (thermal power plant),No,Data Not Applicable,Data Not Applicable,0.474,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.474,0.181,0.191,Data Not Available,Data Not Available,2016-08-20 00:00:00,Data Not Applicable,Data Not Applicable,0.499,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"54.049461308436356, -0.33157404236370897",East Riding of Yorkshire
2394000132800,Data Not Available,"Rolawn, Seaton Ross, York YO42 4NF","Rolawn, Seaton Ross, York YO42 4NF",Rolawn,Data Not Available,Seaton Ross,North Yorkshire,YO42 4NF,England,476914,442746,Creyke Beck,Driffield/Beverley Group,Hayton,0.4,Northern Powergrid (Yorkshire) plc,Solar,Photovoltaic,No,Data Not Applicable,Data Not Applicable,0.19,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.19,0.19,0.2,Data Not Available,Data Not Available,2016-12-12 00:00:00,Data Not Applicable,Data Not Applicable,0.2,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.87522411432862, -0.8316180999895452",East Riding of Yorkshire
2394000099710,Data Not Available,High Warrendale Farm,High Warrendale Farm,High Warrendale Farm,Cattle Hill,Nunburnholme,North Yorkshire,YO42 1XG,England,483723,450409,Creyke Beck,Driffield/Beverley Group,Hayton,0.4,Northern Powergrid (Yorkshire) plc,Wind,Onshore wind turbines,No,Data Not Applicable,Data Not Applicable,0.095,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.095,0.08,0.084,Data Not Available,Data Not Available,2012-11-19 00:00:00,Data Not Applicable,Data Not Applicable,0.1,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.94302816061422, -0.7259862204834269",East Riding of Yorkshire
2394000084306,Data Not Available,Hunmanby Grange,Hunmanby Grange,Hunmanby Grange,Wold Newton,Driffield,North Yorkshire,YO25 3HS,England,507599,474975,Creyke Beck,Driffield/Beverley Group,Hunmanby,0.4,Northern Powergrid (Yorkshire) plc,Wind,Onshore wind turbines,No,Data Not Applicable,Data Not Applicable,0.124,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.124,0.124,0.131,Data Not Available,Data Not Available,2011-11-07 00:00:00,Data Not Applicable,Data Not Applicable,0.131,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"54.15931968607178, -0.353684729119658",North Yorkshire
2394000094420,Data Not Available,St Helens Farm Wind,St Helens Farm,St. Helens Farm,Seaton Ross,York,North Yorkshire,YO42 4NP,England,477517,439345,Creyke Beck,Driffield/Beverley Group,Hayton,11.0,Northern Powergrid (Yorkshire) plc,Wind,Onshore wind turbines,No,Data Not Applicable,Data Not Applicable,0.475,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.475,0.475,0.5,Data Not Available,Data Not Available,2012-06-05 00:00:00,Data Not Applicable,Data Not Applicable,0.5,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2024-12-09T17:55:13+00:00,"53.84457325718229, -0.8233062371882202",East Riding of Yorkshire
2394000121038,Data Not Available,Skylark Farm Wind Farm,Skylark Farm Wind Farm,Skylark Farm,Blamine Lane,York,North Yorkshire,YO42 4LQ,England,481650,443910,Creyke Beck,Driffield/Beverley Group,Hayton,11.0,Northern Powergrid (Yorkshire) plc,Wind,Onshore wind turbines,No,Data Not Applicable,Data Not Applicable,0.475,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.475,0.475,0.5,Data Not Available,Data Not Available,2015-09-25 00:00:00,Data Not Applicable,Data Not Applicable,0.5,Data Not Applicable,Data Not Applicable,2015-01-01 00:00:00,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.884960976152556, -0.7592917423472878",East Riding of Yorkshire
2394000121775,Data Not Available,"Solar Park Adj Hawthorne Farm, Sand Lane, Thornton, Melbourne, York, YO42 4RJ","Solar Park Adj Hawthorne Farm, Sand Lane, Thornton, Melbourne, York, YO42 4RJ",Hawthorne Farm,Melbourne,York,North Yorkshire,YO42 4RJ,England,477546,445269,Creyke Beck,Driffield/Beverley Group,Hayton,0.4,Northern Powergrid (Yorkshire) plc,Solar,Photovoltaic,No,Data Not Applicable,Data Not Applicable,0.19,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.19,0.19,0.2,Data Not Available,Data Not Available,2015-08-10 00:00:00,Data Not Applicable,Data Not Applicable,0.2,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.897801671182634, -0.8213700512815938",East Riding of Yorkshire
2394000099288,Data Not Available,High Trenwick Farm,High Trenwick Farm,High Trenwick,York Road,Hayton,North Yorkshire,YO42 4LW,England,482975,444882,Creyke Beck,Driffield/Beverley Group,Hayton,0.4,Northern Powergrid (Yorkshire) plc,Wind,Onshore wind turbines,No,Data Not Applicable,Data Not Applicable,0.086,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.086,0.086,0.091,Data Not Available,Data Not Available,2012-11-01 00:00:00,Data Not Applicable,Data Not Applicable,0.091,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.89348506351054, -0.738876144617491",East Riding of Yorkshire
2394000125770,Data Not Available,"Makinder Solar Farm, Brayton, Selby, YO8 9LD","Makinder Solar Farm, Brayton, Selby, YO8 9LD",Makinder Solar Farm,Brayton,Selby,North Yorkshire,YO8 9LD,England,458541,429996,Drax,Osgodby 3/4,Selby,0.4,Northern Powergrid (Yorkshire) plc,Solar,Photovoltaic,No,Data Not Applicable,Data Not Applicable,0.19,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.19,0.19,0.2,Data Not Available,Data Not Available,2016-03-01 00:00:00,Data Not Applicable,Data Not Applicable,0.2,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.76303592166636, -1.1134509296269146",North Yorkshire
2394000103891,Data Not Available,"Manor Farm Feeds, Manor Farm, Dunnington, Driffield","Manor Farm Feeds, Manor Farm, Dunnington, Driffield",Manor Farm Feeds Ltd.,Data Not Available,Dunnington,North Yorkshire,YO25 8EG,England,515207,452204,Creyke Beck,Driffield/Beverley Group,Seaton,11.0,Northern Powergrid (Yorkshire) plc,Wind,Onshore wind turbines,No,Data Not Applicable,Data Not Applicable,0.475,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.475,0.475,0.5,Data Not Available,Data Not Available,2014-09-05 00:00:00,Data Not Applicable,Data Not Applicable,0.5,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.95311173421696, -0.24587183367038246",East Riding of Yorkshire
2394000089795,Data Not Available,"Whitemoor Farm, Cliffe Common, Selby, YO8 6EG","Whitemoor Farm, Cliffe Common, Selby, YO8 6EG",Whitemoor Farm,Cliffe Common,Selby,North Yorkshire,YO8 6EG,England,466447,435914,Drax,Osgodby 3/4,Olympia Mills,0.4,Northern Powergrid (Yorkshire) plc,Wind,Onshore wind turbines,No,Data Not Applicable,Data Not Applicable,0.164,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.164,0.164,0.173,Data Not Available,Data Not Available,2011-11-23 00:00:00,Data Not Applicable,Data Not Applicable,0.173,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.81527199810142, -0.9922677018223849",North Yorkshire
2394000116710,Data Not Available,"Wind Turbine, Off Hull Road, Hemingbrough, Selby, YO8 7EH","Wind Turbine, Off Hull Road, Hemingbrough, Selby, YO8 7EH",Off,Hull Road,Selby,North Yorkshire,YO8 7EH,England,462578,432563,Drax,Osgodby 3/4,Olympia Mills,11.0,Northern Powergrid (Yorkshire) plc,Wind,Onshore wind turbines,No,Data Not Applicable,Data Not Applicable,0.475,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.475,0.475,0.5,Data Not Available,Data Not Available,2016-04-01 00:00:00,Data Not Applicable,Data Not Applicable,0.5,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.78563660979293, -1.0517014692939053",North Yorkshire
2394000115958,Data Not Available,"Railway Mill, Cliffe Common, Selby, YO8 6EF","Railway Mill, Cliffe Common, Selby, YO8 6EF",Orrisdale,Cliffe Common,Selby,North Yorkshire,YO8 6EF,England,466481,434089,Drax,Osgodby 3/4,Olympia Mills,0.4,Northern Powergrid (Yorkshire) plc,Solar,Photovoltaic,No,Data Not Applicable,Data Not Applicable,0.1,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.1,0.1,0.105,Data Not Available,Data Not Available,2015-03-02 00:00:00,Data Not Applicable,Data Not Applicable,0.105,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.79886720700742, -0.9921447523707736",North Yorkshire
Data Not Available,Data Not Available,Laburnum Farm,Laburnum Farm,Laburnum Farm,Data Not Available,Wistow Lordship,North Yorkshire,YO8 3RR,England,461189,435394,Drax,Osgodby 3/4,Selby,0.4,Northern Powergrid (Yorkshire) plc,Wind,Onshore wind turbines,No,Data Not Applicable,Data Not Applicable,0.5,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.5,0.5,0.526,Data Not Available,Data Not Available,1997-10-01 00:00:00,Data Not Applicable,Data Not Applicable,0.526,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.81124297541136, -1.0722187251124415",North Yorkshire
2300000867450,Data Not Available,Rix Petroleum Ltd,Rix Petroleum Ltd,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,England,509228,430867,Creyke Beck,Sculcoates A,Sculcoates A Direct,11.0,Northern Powergrid (Yorkshire) plc,Fossil - Gas,Engine (combustion / reciprocating),No,Data Not Applicable,Data Not Applicable,0.086,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.086,0.086,0.091,Data Not Available,Data Not Available,2002-01-14 00:00:00,Data Not Applicable,Data Not Applicable,0.091,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.76271342657861, -0.34452552952699794","Kingston upon Hull, City of"
2394000097059,Data Not Available,"Burton Hall Farm, Mill Lane, Brayton, Selby, YO8 9LD","Burton Hall Farm, Mill Lane, Brayton, Selby, YO8 9LD",Burton Hall Farm,Mill Lane,Selby,North Yorkshire,YO8 9LD,England,458541,429996,Drax,Osgodby 3/4,Selby,0.4,Northern Powergrid (Yorkshire) plc,Solar,Photovoltaic,No,Data Not Applicable,Data Not Applicable,0.12,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.12,0.12,0.126,Data Not Available,Data Not Available,2012-10-10 00:00:00,Data Not Applicable,Data Not Applicable,0.126,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.76303592166636, -1.1134509296269146",North Yorkshire
