,building,RISK_ID,COUNTRY,LAT,LON,CLC_2012,AREA_m2,Risk
0,42517.0,UKC11_41,UK,54.482800532441864,-1.4176105991677188,12,175.12319341944576,77.0301203910446
1,42528.0,UKC11_42,UK,54.539697390272,-1.4142419750293094,18,11733.264161252257,8076.216912937402
2,42580.0,UKC11_43,UK,54.525896149068345,-1.3846622746891175,3,30151.07949674819,19983.200461434346
3,42614.0,UKC11_44,UK,54.565474106807706,-1.4071588515611182,12,10080.058948265294,6679.11308115727
4,42709.0,UKC11_47,UK,54.49386502163473,-1.41798165284325,18,5118.989521819731,2350.2246407234666
5,42726.0,UKC11_55,UK,54.52744043809136,-1.3835485091329498,3,353.5129445999942,234.07588579877066
6,42815.0,UKC11_56,UK,54.536597437058255,-1.442496333541792,12,5080.715915638105,2246.124109890773
7,42817.0,UKC11_57,UK,54.5385742977429,-1.418217329450017,12,4130.456500931714,2737.4471107011386
8,42818.0,UKC11_58,UK,54.539978397155,-1.4172668927096257,12,2482.446568468817,1644.7120755278158
9,42819.0,UKC11_59,UK,54.53996494916338,-1.4154093231757026,12,4130.122873715954,2736.6991743320955
10,42820.0,UKC11_60,UK,54.54067328392476,-1.4170108371080872,12,5179.496139786321,3433.0279339120843
11,42821.0,UKC11_61,UK,54.54177683748292,-1.4132488426766456,12,4589.376708800144,3041.8572129020567
12,42822.0,UKC11_62,UK,54.54122406833621,-1.412341584956702,12,5560.238434346392,3685.0824902799213
13,42823.0,UKC11_63,UK,54.5414295583644,-1.4097831588782772,12,2876.9602571488704,1906.4898046932244
14,42824.0,UKC11_64,UK,54.54194698944941,-1.407037889463402,12,7057.578445842808,4677.594052001346
15,42825.0,UKC11_65,UK,54.54299164906749,-1.4084917745891763,12,15728.208560527632,10425.48504810469
16,42826.0,UKC11_66,UK,54.54114615499843,-1.3843168689447238,12,4746.142390533687,3144.6936095330057
17,42829.0,UKC11_69,UK,54.556369757182715,-1.420312470354176,18,7884.47618970143,5426.278357414416
