,building,RISK_ID,COUNTRY,LAT,LON,CLC_2012,AREA_m2,13/01/1984,14/01/1984,18/01/1995,24/01/2009,01/02/1983,25/03/1986,26/02/1990,28/02/1990,04/01/1998,11/02/1990,07/02/1996,27/12/1999,25/01/1990,11/02/2009,03/01/2012,28/01/1994,26/12/1999,16/12/2011,01/02/2008,25/11/1992,26/12/1998,16/10/1987,05/12/2013,08/02/1988,13/01/1993,07/01/2005,24/12/1997,27/01/2002,27/02/2010,23/11/1984,03/02/1990,08/02/1990,28/12/2011,30/10/2000,28/10/2013,22/10/1986,18/01/1983,20/01/1986,08/01/1991,18/01/2007,08/12/1993,05/11/1996,11/01/2005,03/12/1999,27/10/2002,27/10/1996,02/03/2008,28/10/1998,02/11/1981,26/12/2011,29/11/1988,28/03/1997,23/01/1993
14,42824,UKC11_64,UK,54.54194699,-1.407037889,12,7057.578446,312.9262607,938.7787822,0,0,3143.344289,0,938.7787822,0,0,0,0,0,0,0,0,0,0,0,0,0,312.9262607,0,0,312.9262607,0,19714.35443,15.64631304,938.7787822,0,0,0,0,0,0,0,0,0,0,0,0,0,15.64631304,0,15.64631304,0,0,0,0,0,0,0,0,6.258525215
15,42825,UKC11_65,UK,54.54299165,-1.408491775,12,15728.20856,697.3736857,2092.121057,0,0,7005.118673,0,2092.121057,0,0,0,0,0,0,0,0,0,0,0,0,0,697.3736857,0,0,697.3736857,0,43934.5422,34.86868429,2092.121057,0,0,0,0,0,0,0,0,0,0,0,0,0,34.86868429,0,34.86868429,0,0,0,0,0,0,0,0,13.94747371
16,42826,UKC11_66,UK,54.54114615,-1.384316869,12,4746.142391,210.4394025,631.3182075,0,0,2113.863798,0,631.3182075,0,0,0,0,0,0,0,0,0,0,0,0,0,210.4394025,0,0,210.4394025,0,13257.68236,10.52197013,631.3182075,0,0,0,0,0,0,0,0,0,0,0,0,0,10.52197013,0,10.52197013,0,0,0,0,0,0,0,0,4.20878805
17,42829,UKC11_69,UK,54.55636976,-1.42031247,18,7884.47619,363.0153246,1089.045974,0,0,3646.488936,0,1089.045974,0,0,0,0,0,0,0,0,0,0,0,0,0,363.0153246,0,0,363.0153246,0,22869.96545,18.15076623,1089.045974,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15076623,0,18.15076623,0,0,0,0,0,0,0,0,7.260306492
18,42830,UKC11_70,UK,54.55565364,-1.396887028,18,3047.853679,140.3286111,420.9858332,0,0,1409.600898,0,420.9858332,0,0,0,0,0,0,0,0,0,0,0,0,0,140.3286111,0,0,140.3286111,0,8840.702497,7.016430553,420.9858332,0,0,0,0,0,0,0,0,0,0,0,0,0,7.016430553,0,7.016430553,0,0,0,0,0,0,0,0,2.806572221
19,42831,UKC11_71,UK,54.55252021,-1.384162971,12,3291.648375,145.9485326,437.8455978,0,0,1466.05301,0,437.8455978,0,0,0,0,0,0,0,0,0,0,0,0,0,145.9485326,0,0,145.9485326,0,9194.757553,7.297426629,437.8455978,0,0,0,0,0,0,0,0,0,0,0,0,0,7.297426629,0,7.297426629,0,0,0,0,0,0,0,0,2.918970652
20,43030,UKC11_73,UK,54.48540849,-1.416541649,12,1312.205617,2.90909694,58.18193879,0,0,409.0190297,0,2.90909694,0.581819388,0,0,0,0,0,0,0,0,0,0,0,0,58.18193879,0,0,58.18193879,0,4605.682275,0.581819388,58.18193879,0,0,0,0,0,0,0,0,0,0,0,0,0,1.163638776,0,1.163638776,0,0,0,0,0,0,0,0,0.872729082
21,43031,UKC11_74,UK,54.48611239,-1.415654044,18,3414.162845,7.85970687,157.1941374,0,0,1105.074786,0,7.85970687,1.571941374,0,0,0,0,0,0,0,0,0,0,0,0,157.1941374,0,0,157.1941374,0,12443.48792,1.571941374,157.1941374,0,0,0,0,0,0,0,0,0,0,0,0,0,3.143882748,0,3.143882748,0,0,0,0,0,0,0,0,2.357912061
22,43032,UKC11_75,UK,54.485843,-1.413020785,18,1449.387331,3.33661869,66.7323738,0,0,469.1285878,0,3.33661869,0.667323738,0,0,0,0,0,0,0,0,0,0,0,0,66.7323738,0,0,66.7323738,0,5282.53471,0.667323738,66.7323738,0,0,0,0,0,0,0,0,0,0,0,0,0,1.334647476,0,1.334647476,0,0,0,0,0,0,0,0,1.000985607
23,43036,UKC11_79,UK,54.49481407,-1.411261535,18,2691.377902,6.195791572,123.9158314,0,0,871.1282951,0,123.9158314,0,0,0,0,0,0,0,0,0,0,0,0,0,123.9158314,0,0,123.9158314,0,7806.697381,1.858737472,123.9158314,0,0,0,0,0,0,0,0,0,0,0,0,0,6.195791572,0,6.195791572,0,0,0,0,0,0,0,0,2.478316629
