,ID_,building,COUNTRY,CLC_2012,AREA_m2,07/02/2020,10/02/2020,15/02/2020,04/10/2020,31/10/2020,23/03/2021,LAT,LON
5364,5364_UKC11,semidetached_house,UK,2,72.44337471,0,0,0,0,0,0,54.61029215,-1.307374267
5365,5365_UKC11,semidetached_house,UK,2,72.34430148,0,0,0,0,0,0,54.61018835,-1.307233967
5366,5366_UKC11,semidetached_house,UK,2,72.49986675,0,0,0,0,0,0,54.6101319,-1.30716015
5367,5367_UKC11,semidetached_house,UK,2,72.34459171,0,0,0,0,0,0,54.61002355,-1.307016467
5368,5368_UKC11,semidetached_house,UK,2,72.50015765,0,0,0,0,0,0,54.6099671,-1.30694265
5369,5369_UKC11,house,UK,2,80.29866149,0,0,0,0,0,0,54.60987123,-1.306804241
5370,5370_UKC11,house,UK,2,80.4171159,0,0,0,0,0,0,54.6097828,-1.3066746
5371,5371_UKC11,semidetached_house,UK,2,72.41389543,0,0,0,0,0,0,54.61067415,-1.3079042
5372,5372_UKC11,semidetached_house,UK,2,72.50209418,0,0,0,0,0,0,54.61062213,-1.307821197
5373,5373_UKC11,semidetached_house,UK,2,72.39128477,0,0,0,0,0,0,54.61081156,-1.308152501
5374,5374_UKC11,semidetached_house,UK,2,72.54359703,0,0,0,0,0,0,54.61076318,-1.308063215
5375,5375_UKC11,semidetached_house,UK,2,66.40778928,0,0,0,0,0,0,54.61079703,-1.309765436
5376,5376_UKC11,semidetached_house,UK,2,66.32139795,0,0,0,0,0,0,54.61078145,-1.3098913
5377,5377_UKC11,garage,UK,2,17.74414335,0,0,0,0,0,0,54.6107113,-1.31000825
5378,5378_UKC11,semidetached_house,UK,2,46.37837454,0,0,0,0,0,0,54.61016128,-1.308406351
5379,5379_UKC11,semidetached_house,UK,2,53.88545929,0,0,0,0,0,0,54.61012799,-1.308487369
5380,5380_UKC11,semidetached_house,UK,2,70.06550123,0,0,0,0,0,0,54.60924438,-1.306289918
5381,5381_UKC11,semidetached_house,UK,2,56.46058026,0,0,0,0,0,0,54.60925552,-1.306395192
5382,5382_UKC11,semidetached_house,UK,2,56.45772101,0,0,0,0,0,0,54.6092949,-1.30669205
5383,5383_UKC11,semidetached_house,UK,2,55.85067881,0,0,0,0,0,0,54.60928245,-1.30660085
5384,5384_UKC11,semidetached_house,UK,2,56.49134199,0,0,0,0,0,0,54.6093244,-1.306976921
5385,5385_UKC11,semidetached_house,UK,2,55.85955758,0,0,0,0,0,0,54.60931195,-1.3068857
5386,5386_UKC11,semidetached_house,UK,2,56.47881455,0,0,0,0,0,0,54.609281,-1.3060809
5387,5387_UKC11,semidetached_house,UK,2,55.85445473,0,0,0,0,0,0,54.6093091,-1.3060007
5388,5388_UKC11,semidetached_house,UK,2,42.16317454,0,0,0,0,0,0,54.6094647,-1.30582415
5389,5389_UKC11,semidetached_house,UK,2,58.27086199,0,0,0,0,0,0,54.60940804,-1.30585211
5390,5390_UKC11,semidetached_house,UK,2,79.72761059,0,0,0,0,0,0,54.61111043,-1.304311563
5391,5391_UKC11,semidetached_house,UK,2,80.75947357,0,0,0,0,0,0,54.61109955,-1.304193218
5392,5392_UKC11,semidetached_house,UK,2,80.74007062,0,0,0,0,0,0,54.61112784,-1.304503027
5393,5393_UKC11,semidetached_house,UK,2,79.76164726,0,0,0,0,0,0,54.61113872,-1.304621392
5394,5394_UKC11,semidetached_house,UK,2,80.75584686,0,0,0,0,0,0,54.61106022,-1.303872191
5395,5395_UKC11,semidetached_house,UK,2,79.70880718,0,0,0,0,0,0,54.61107106,-1.303990523
5396,5396_UKC11,semidetached_house,UK,2,80.70447606,0,0,0,0,0,0,54.61103254,-1.3035519
5397,5397_UKC11,semidetached_house,UK,2,79.7583082,0,0,0,0,0,0,54.61104339,-1.303670226
5398,5398_UKC11,semidetached_house,UK,2,80.79176955,0,0,0,0,0,0,54.61100691,-1.303235118
5399,5399_UKC11,semidetached_house,UK,2,79.70891054,0,0,0,0,0,0,54.61101778,-1.303353467
5400,5400_UKC11,semidetached_house,UK,2,80.72389205,0,0,0,0,0,0,54.61099766,-1.302911291
5401,5401_UKC11,semidetached_house,UK,2,79.72780846,0,0,0,0,0,0,54.61100851,-1.303029618
5402,5402_UKC11,semidetached_house,UK,2,80.74841561,0,0,0,0,0,0,54.6112093,-1.302720574
5403,5403_UKC11,semidetached_house,UK,2,79.64551529,0,0,0,0,0,0,54.61114043,-1.302734763
5404,5404_UKC11,semidetached_house,UK,2,80.75561509,0,0,0,0,0,0,54.6113885,-1.302701978
5405,5405_UKC11,semidetached_house,UK,2,79.76603428,0,0,0,0,0,0,54.61131958,-1.302716164
5406,5406_UKC11,semidetached_house,UK,2,79.75808138,0,0,0,0,0,0,54.61116019,-1.304937526
5407,5407_UKC11,semidetached_house,UK,2,80.70057846,0,0,0,0,0,0,54.61114934,-1.3048192
5408,5408_UKC11,semidetached_house,UK,2,57.13105152,0,0,0,0,0,0,54.6110335,-1.305574078
5409,5409_UKC11,semidetached_house,UK,2,59.99182275,0,0,0,0,0,0,54.61097169,-1.305557545
5410,5410_UKC11,semidetached_house,UK,2,57.10872658,0,0,0,0,0,0,54.6112093,-1.306081928
5411,5411_UKC11,semidetached_house,UK,2,59.9331639,0,0,0,0,0,0,54.6111478,-1.30606275
5412,5412_UKC11,semidetached_house,UK,2,57.10848212,0,0,0,0,0,0,54.61138509,-1.306132772
5413,5413_UKC11,semidetached_house,UK,2,60.01727296,0,0,0,0,0,0,54.61132358,-1.306113584
5414,5414_UKC11,semidetached_house,UK,2,57.10392784,0,0,0,0,0,0,54.6115052,-1.30640315
5415,5415_UKC11,semidetached_house,UK,2,59.96754099,0,0,0,0,0,0,54.61151875,-1.306297779
5416,5416_UKC11,semidetached_house,UK,2,57.20410385,0,0,0,0,0,0,54.61146233,-1.30672369
5417,5417_UKC11,semidetached_house,UK,2,60.02373919,0,0,0,0,0,0,54.6114759,-1.3066183
5418,5418_UKC11,semidetached_house,UK,2,58.97478897,0,0,0,0,0,0,54.61112165,-1.307101534
5419,5419_UKC11,semidetached_house,UK,2,57.81699568,0,0,0,0,0,0,54.61107686,-1.307039136
5420,5420_UKC11,semidetached_house,UK,2,57.80269992,0,0,0,0,0,0,54.61093697,-1.306863028
5421,5421_UKC11,semidetached_house,UK,2,59.01925868,0,0,0,0,0,0,54.6109818,-1.3069254
5422,5422_UKC11,semidetached_house,UK,2,57.80026132,0,0,0,0,0,0,54.61080437,-1.306659612
5423,5423_UKC11,semidetached_house,UK,2,59.05418833,0,0,0,0,0,0,54.6108492,-1.306721966
5424,5424_UKC11,semidetached_house,UK,2,57.80028033,0,0,0,0,0,0,54.61125094,-1.307194153
5425,5425_UKC11,semidetached_house,UK,2,59.00372218,0,0,0,0,0,0,54.61130793,-1.30720813
5426,5426_UKC11,semidetached_house,UK,2,57.82408994,0,0,0,0,0,0,54.61140203,-1.307415048
5427,5427_UKC11,semidetached_house,UK,2,59.04987903,0,0,0,0,0,0,54.61139525,-1.30751375
5428,5428_UKC11,house,UK,2,84.45157054,0,0,0,0,0,0,54.61119715,-1.307906484
